entry_time,exit_time,direction,tier,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs
2022-07-10 01:00:00,2022-07-10 02:15:00,long,2,21354.96497336527,21568.986580274992,21305.381753939044,21305.381753939044,SL,-0.332185908467037,-86.59635070146406
2022-07-10 13:30:00,2022-07-10 14:00:00,long,3,21044.504371316394,21260.02104151092,21013.71627557432,21013.71627557432,SL,-0.24629993274652215,-85.73038719444942
2022-07-10 15:00:00,2022-07-10 16:00:00,long,1,20875.447284493363,21113.468041650372,20796.10703210769,20796.10703210769,SL,-0.48006492174472587,-84.87308332250493
2022-07-13 08:15:00,2022-07-13 08:30:00,short,2,19804.635115080593,19564.26185285821,19852.70976752507,19852.70976752507,SL,-0.3427444492924253,-84.02435248927986
2022-07-13 12:15:00,2022-07-13 12:45:00,short,3,20056.880661425163,19773.2595571764,20097.39796203213,19178.617857142857,trail,2.7964721088600957,770.2411176216422
2022-07-13 23:45:00,2022-07-14 00:00:00,short,2,20223.55109957871,19883.6871097687,20311.44086245367,20311.44086245367,SL,-0.5345911479254952,-90.8865201406035
2022-07-14 15:15:00,2022-07-14 15:30:00,short,2,20116.403880836286,19836.601895059262,20172.36427799169,20172.36427799169,SL,-0.37818290727755904,-89.97765493919745
2022-07-16 06:30:00,2022-07-16 10:30:00,long,2,20504.74514124351,20667.76575393395,20472.141018705424,20600.29642857143,trail,0.5305172247624316,182.45538573389112
2022-07-20 20:15:00,2022-07-20 22:30:00,long,2,23027.246497868582,23610.423203728362,22886.61070521481,23442.27857142857,trail,2.0674514569342093,264.4248235861427
2022-07-22 17:30:00,2022-07-22 19:30:00,long,1,22926.45063187201,23263.818477809462,22813.994683226192,22813.994683226192,SL,-0.5905074512034669,-93.54668048300583
2022-07-22 20:30:00,2022-07-22 20:45:00,long,1,22619.307505395846,22941.092258362263,22512.045921073706,22512.045921073706,SL,-0.5742036611711121,-92.61121367817576
2022-07-27 07:00:00,2022-07-27 07:15:00,short,2,21368.604168987786,21182.116059712997,21405.901790842745,21405.901790842745,SL,-0.27454402524376986,-91.685101541394
2022-07-27 08:15:00,2022-07-27 11:45:00,short,1,21417.81783010371,21250.960918973182,21473.436800480555,21200.17142857143,trail,0.7976248554191515,201.28420475871673
2022-07-30 19:45:00,2022-07-30 20:00:00,long,2,23966.076770399686,24371.554489723123,23884.981226534997,23884.981226534997,SL,-0.4383763835925339,-92.78109257356722
2022-07-30 22:00:00,2022-07-31 18:15:00,long,1,23599.4066841429,24069.55614951493,23442.690195685558,24042.839285714286,trail,1.835603888629275,220.66869075285314
2022-07-31 22:15:00,2022-08-01 06:15:00,long,2,23268.16961399811,23689.77998610119,23183.847539577495,23183.847539577495,SL,-0.46239238332647986,-94.05996855536009
2022-08-05 01:45:00,2022-08-05 02:00:00,short,2,22872.52192863632,22642.089132307337,22918.60848790212,22918.60848790212,SL,-0.3014931252862728,-93.11936886980648
2022-08-09 09:45:00,2022-08-09 10:00:00,long,2,23502.912783898635,23755.968130279463,23452.30171462247,23452.30171462247,SL,-0.3153395612770071,-92.18817518110842
2022-08-09 11:30:00,2022-08-09 11:45:00,long,1,23304.903748750072,23551.48059458321,23192.921742569375,23192.921742569375,SL,-0.580508340167261,-91.26629342929733
2022-08-11 22:45:00,2022-08-11 23:00:00,long,3,23907.734212108477,24157.209599350088,23872.09487107396,23872.09487107396,SL,-0.24907034149838103,-90.35363049500437
2022-08-14 16:45:00,2022-08-14 17:00:00,long,3,24315.803984495175,24485.516773376716,24291.55930036924,24291.55930036924,SL,-0.19970751590773184,-89.45009419005432
2022-08-14 18:00:00,2022-08-14 21:45:00,long,1,24226.90855691211,24390.416928680588,24172.405766322616,24331.371428571427,trail,0.4530446503281638,123.45719675234756
2022-08-15 07:00:00,2022-08-15 08:15:00,long,2,24036.89889604328,24554.570452164375,23898.15552781209,23898.15552781209,SL,-0.6772099339071895,-89.79016521567725
2022-08-21 12:00:00,2022-08-21 14:15:00,short,1,21530.118030899328,21379.19337665082,21580.426248982163,21401.914285714283,trail,0.5482277501520372,146.0545617605577
2022-08-24 16:00:00,2022-08-24 23:30:00,short,3,21831.861510168183,21504.375569518572,21878.64521597527,21469.77142857143,trail,1.479288192912902,425.2678583117638
2022-08-26 13:00:00,2022-08-26 14:15:00,short,2,21804.169414812677,21407.015980445234,21883.600101686166,21599.35714285714,trail,1.2803912794633512,260.89665672085164
2022-08-29 13:30:00,2022-08-29 14:00:00,short,2,20082.278048896405,19880.050098274733,20122.72363902074,20122.72363902074,SL,-0.30139941308380197,-97.21445433145219
2022-08-29 16:00:00,2022-08-29 20:00:00,short,1,20357.72948109395,20091.795233675624,20446.374230233392,20185.225,trail,0.9768360217170831,175.58227391894704
2022-08-30 04:15:00,2022-08-30 04:30:00,short,3,20483.309966342807,20228.68504509049,20519.68495509314,20519.68495509314,SL,-0.2775835488019384,-97.99813252732713
2022-08-31 02:15:00,2022-08-31 03:15:00,short,2,20356.51865466295,20026.17214351964,20440.086701140608,20440.086701140608,SL,-0.5105222896672326,-97.01815120205386
2022-09-02 13:00:00,2022-09-02 13:15:00,short,2,20328.829754479008,20131.086774947544,20368.3783503853,20368.3783503853,SL,-0.29454438048791187,-96.04796969003331
2022-09-06 00:30:00,2022-09-06 00:45:00,short,2,19979.47346558372,19803.44816340823,20014.67852601882,20014.67852601882,SL,-0.27620614725279147,-95.08748999313298
2022-09-07 18:45:00,2022-09-07 19:15:00,short,3,19133.131011399306,18926.53482393299,19162.644752465923,19162.644752465923,SL,-0.2542546332277428,-94.13661509320164
2022-09-07 20:30:00,2022-09-07 20:45:00,short,2,19310.281589554135,19023.77902383747,19367.58210269747,19367.58210269747,SL,-0.39673577196477183,-93.19524894226964
2022-09-07 22:00:00,2022-09-08 02:15:00,short,1,19404.20019990664,19174.453521498934,19490.386506464452,19237.77857142857,trail,0.9208313220961417,156.12768611921837
2022-09-13 12:45:00,2022-09-13 12:45:00,long,3,21603.33591150706,22301.863676785226,21444.698328462862,21444.698328462862,SL,-0.8343198462219852,-93.82457331403914
2022-09-13 14:00:00,2022-09-13 14:45:00,long,1,21160.870630478596,21899.288313737645,20872.132069773073,20872.132069773073,SL,-1.464492821432611,-92.88632758089874
