entry_t,exit_t,direction,entry,tp,sl,exit,result,pnl_pct,pnl_abs
2023-06-13 12:30:00,2023-06-13 12:45:00,short,26311.30153453063,26132.843084491415,26355.916147040436,26132.843084491415,TP,0.5782577813758434,20.558821668933707
2023-06-14 18:00:00,2023-06-14 18:15:00,short,26085.359001696637,25959.074119618002,26116.930222216295,25959.074119618002,TP,0.38412169474233054,17.370010865008464
2023-06-21 10:30:00,2023-06-21 10:45:00,short,29103.482234644573,28865.748265914273,29162.91572682715,28865.748265914273,TP,0.7168574702284336,24.37108856628246
2023-07-07 12:30:00,2023-07-07 13:00:00,short,30295.61371631628,30114.473752102753,30340.89870736966,30114.473752102753,TP,0.4979082183635359,21.614265255297454
2023-07-11 14:15:00,2023-07-11 14:45:00,short,30534.977587179143,30419.4413021223,30563.861658443355,30563.861658443355,SL,-0.19459339271413104,-11.262119065955005
2023-07-12 12:30:00,2023-07-12 12:45:00,short,30844.678747074846,30715.873948580676,30876.879946698387,30715.873948580676,TP,0.3175916356606072,17.14899989663323
2023-07-14 13:30:00,2023-07-14 13:45:00,long,31064.93269007595,31192.81392409493,31032.962381571208,31192.81392409493,TP,0.31165785000986934,17.478407518964747
2023-08-04 12:30:00,2023-08-04 13:30:00,short,29257.585365956038,29172.38615978541,29278.885167498694,29278.885167498694,SL,-0.17280095495317543,-11.729424832947863
2023-08-10 12:30:00,2023-08-10 12:45:00,short,29593.764342662158,29519.63150101717,29612.297553073404,29519.63150101717,TP,0.1505015610268868,10.637888767732498
2023-08-25 13:30:00,2023-08-25 13:45:00,short,26205.536252377256,26100.069233540562,26231.903007086432,26100.069233540562,TP,0.3024608304938883,17.651147587669897
2023-08-25 14:15:00,2023-08-25 14:30:00,short,26206.904864078526,26092.396746879895,26235.531893378185,26092.396746879895,TP,0.33693872966885935,19.421679739788033
2023-08-31 11:45:00,2023-08-31 12:00:00,short,27491.52764457414,27248.007896596817,27552.40758156847,27248.007896596817,TP,0.7857992583230836,30.43229247710886
2023-09-04 03:15:00,2023-09-04 05:30:00,short,26092.107715799437,25943.34162650471,26129.29923812312,25943.34162650471,TP,0.470157424287522,25.312069169447597
2023-09-09 15:00:00,2023-09-09 16:30:00,short,25901.96718253485,25841.511371298715,25917.08113534388,25917.08113534388,SL,-0.15835059824808456,-13.563937891123842
2023-09-19 15:30:00,2023-09-19 17:00:00,short,27473.424982956843,27152.524392562973,27553.65013055531,27152.524392562973,TP,1.0680399898918371,36.2161465725023
2023-09-22 00:15:00,2023-09-22 00:30:00,long,26482.003543516443,26565.088105794377,26461.23240294696,26565.088105794377,TP,0.21373971437397454,16.7903547053309
2023-10-15 08:00:00,2023-10-15 08:30:00,short,26888.580480434044,26866.95753291314,26893.986217314272,26893.986217314272,SL,-0.12010421072306647,-14.352789158858032
2023-10-20 02:15:00,2023-10-20 02:30:00,short,28823.1015294593,28654.09248617051,28865.3537902815,28865.3537902815,SL,-0.24659165245979514,-14.065733375680871
2023-10-28 11:30:00,2023-10-28 12:15:00,short,34377.004715893956,34126.77099290915,34439.563146640154,34126.77099290915,TP,0.6279101976825562,30.695270221932176
2023-12-26 15:45:00,2023-12-26 16:15:00,long,42295.33577824673,42677.34467094052,42199.83355507328,42199.83355507328,SL,-0.32579847497644404,-14.398324112605895
