entry_time,exit_time,direction,tier,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs
2022-07-11 18:30:00,2022-07-11 21:45:00,short,2,20653.6,20260.0,21047.199999999997,20260.0,TP,1.805721036526313,87.85889523588328
2022-07-13 07:30:00,2022-07-13 12:15:00,short,3,19680.9,19228.3,20133.500000000004,20133.500000000004,SL,-2.3996915791452738,-98.46865455826766
2022-07-13 23:15:00,2022-07-14 23:15:00,short,2,20072.4,18901.0,21243.800000000003,20535.3,timeout,-2.4061517307347295,-39.515867923259854
2022-07-17 17:45:00,2022-07-18 05:30:00,long,2,20912.5,21674.1,20150.9,21674.1,TP,3.541841004184093,91.89944884352839
2022-07-18 19:45:00,2022-07-18 23:45:00,long,2,21614.8,22579.9,20649.699999999997,22579.9,TP,4.364996206303099,93.71392056798426
2022-07-21 11:15:00,2022-07-22 11:15:00,long,2,22563.4,24277.0,20849.800000000003,23501.5,timeout,4.057618089472324,52.1769533482003
2022-07-23 09:00:00,2022-07-24 09:00:00,long,3,22655.0,24277.0,21033.0,22657.0,timeout,-0.09117192672699184,-1.2491890079977126
2022-07-25 20:00:00,2022-07-25 22:30:00,short,2,22153.7,21544.5,22762.9,21544.5,TP,2.6498792526756283,92.47468140960638
2022-07-26 23:45:00,2022-07-27 18:00:00,short,2,21241.0,20689.6,21792.4,21792.4,SL,-2.695922979144115,-100.37896748506563
2022-07-31 09:00:00,2022-08-01 09:00:00,long,2,23616.0,24700.0,22532.0,23326.8,timeout,-1.3245934959349626,-28.065814887000805
2022-08-02 14:45:00,2022-08-02 16:30:00,short,3,23014.5,22603.0,23426.0,23426.0,SL,-1.888003215364227,-99.09451966134498
2022-08-06 17:45:00,2022-08-07 17:45:00,long,2,23121.1,23650.0,22592.199999999997,23235.1,timeout,0.39305612622236835,16.150732161185264
2022-08-09 09:15:00,2022-08-09 13:45:00,long,3,23695.9,24243.0,23148.800000000003,23148.800000000003,SL,-2.4088382378386073,-98.26508178634339
2022-08-13 20:00:00,2022-08-14 07:30:00,long,2,24371.1,24972.0,23770.199999999997,24972.0,TP,2.3656252692738593,89.69890486795838
2022-08-14 17:00:00,2022-08-15 03:00:00,long,2,24238.4,24972.0,23504.800000000003,24972.0,TP,2.92660241600105,91.89915748587603
2022-08-18 10:00:00,2022-08-18 23:15:00,short,2,23498.4,23170.0,23826.800000000003,23170.0,TP,1.2975419603036862,85.86360225526725
